用例ID,优先级,测试日期时区,测试人,环境版本,预期,实际,PASS/FAIL/BLOCKED/SKIP,request_id,session_id,message_id,question_id,file/job_id,费用,证据位置,缺陷及备注
H05,P2,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,完整分页且最新轮可见；当前控制台未提供完整分页，必须单列限制,无>200条公开消息的专用测试会话；控制台分页限制已知，本轮未构造,SKIP,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,202，保存原 user/assistant ID；轮询后部件逐渐更新,202原user/assistant ID，轮询卡片逐渐出现,PASS,req_01M34W0Y4W9GZ4NDMKQM6C34CR,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M02,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,202，两个 ID 不变，作业/计费不重复,处理中及结束后重发202、ID不变,PASS,req_01M34W0ZQHA8WBQX62H1DWA1HA;req_01M34W3WFNDE9MPQ9FH80PJCWV,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M03,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,409 DUPLICATE_CLIENT_MESSAGE_ID,处理中及结束后正文冲突409,PASS,req_01M34W114FK2DZQY73X06DKY3A;req_01M34W3V2NSNX1073ZSDP911TT,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M04,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,409 SESSION_BUSY,新键忙碌请求409 SESSION_BUSY,PASS,req_01M34W12HEBCVW2DSYYZV2HZKR,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M05,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,413 PAYLOAD_TOO_LARGE,20481字节正文413,PASS,req_01M34W0RFNSXXS422VK26PNZTH,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
M06,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,重放原成功 payload，202，原 ID 一致,修改输入后重发202且页面一致✓,PASS,,ses_7YBWV3YFXDRX5TYCS7CJ14FAX3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,按题目顺序传二维数组；200；模型准确复述,单选B、多选甲丙、自由输入200并正确复述,PASS,req_01M34W3DB9KR95KMMDXJ6791GS;req_01M34W3G88F7ABV0KH18N31GGE,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,400；卡片仍可正常作答,custom=false选项外答案400,PASS,req_01M34W3ETXV1ZQXRZWM65K6FK7,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q03,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,409 INTERACTION_RESOLVED，无重复执行,重复答卡409；拒卡200、重复拒卡409,PASS,req_01M34W3HR9ZHWQ7NYJSCYAAB3S;req_01M34W3XWJ6TJ91GF2DXDQEYDF;req_01M34W45RDR7AD076JC38HYNFS,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q04,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,status=timeout；回到 idle/结束态；再次答卡 409,独立等待600秒，见timeout-latest.json及Q04-after-expiry请求,PASS,req_01M34VY8DBRZ95YE49DJ90HGXX;req_01M34VY9W1XEHQ7K0CP1QNW7EB;req_01M34WGYJ5V8ZZ2WZ8SN4X9QB6,ses_7YBWV41QHYHZ0D4STPJ3NQ9APP,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q05,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,单选、多选、自由输入均不丢失，焦点不被签名链接刷新反复打断,草稿从轮询22到47全部保留,PASS,,ses_7YBWV3YFXDRX5TYCS7CJ14FAX3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
Q06,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,已填值正确保留；已处理卡不可再编辑/提交,提交后真实重绘，已选值保留且控件禁用,PASS,,ses_7YBWV3YFXDRX5TYCS7CJ14FAX3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
P01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,公开 busy/finish=null 保持；无需人工发“继续”自动恢复交付,已拿6积分报价，等待本次费用授权；本轮未新生成,BLOCKED,req_01M34VYBE1X5N6SZDR3K25FYCV;req_01M34VYD02QBYJXRBVFN45FJQS,ses_7YBWV41MHF22GJ13YBRYBDN0F3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
P02,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,同一公开回复出现可下载 final；本轮最终 finish=stop；不重复分享同一产物,本轮未新生成，不把前轮自动final成功记作本轮通过,BLOCKED,,ses_7YBWV41MHF22GJ13YBRYBDN0F3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
P03,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,按 assistant_message_id 判断目标轮；不拿历史轮 stop 当成本轮完成,两轮API卡片对话，按assistant ID区分；multi-turn.json,PASS,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
B01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,aborted=true；随后终态 aborted，不误标 stop,新建需求后中止true，最终finish=aborted,PASS,req_01M34W13Z8DBE2R3J8SXKTEXNC;req_01M34W15H60X8YPAN60TT7P2BT;req_01M34W1B1DBQMSK7KD6MZRT3K3,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
B02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,aborted=false，不开启新运行,空闲中止false,PASS,req_01M34W1CEE4RRBNX24PS51Y5F9,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
D01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,302→新签名 URL GET 200；文件完整可解码，尺寸/时长符合批准参数,下载前轮已批准5秒成片：302→200、8173661字节、SHA256完全一致；非本轮新生成,PASS,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
D02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,地址可更新且可下载；不使用 HEAD 验证 GET 签名,两次GET302签名变化，下载200；download-existing.json,PASS,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
C01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,仅一次生成收费，参数/金额与确认报价一致；聊天费用另列,新生成待费用批准；无本轮视频计费可核对,BLOCKED,,ses_7YBWV41MHF22GJ13YBRYBDN0F3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
C02,P2,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,402 INSUFFICIENT_CREDITS，无付费作业；勿修改共享测试账户余额,无专用低余额账户，未修改共享账户余额,SKIP,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
L01,P2,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,429 RATE_LIMITED；按 Retry-After 恢复，无忙循环,本次突发第58请求429（窗口前已有请求），Limit60/Remaining0/RetryAfter21；22秒后恢复404,PASS,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
L02,P2,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,429 CONCURRENT_LIMIT_EXCEEDED；不干扰其他测试,使用共享集成Key，无专用并发隔离窗口，未创建额外五个执行任务,SKIP,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
